Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory1,Final memory2,Compression ratio1,Compression ratio2,Max actual sparsity,Sparsity coeff,Final cost,Max allowed sparsity(m),Stopping criterion
CTG-mod-norm,dl,2126.00000,21.00000,0.18247,628.00000,44646.00000,17682.00000,16812.00000,0.39605,0.37656,2.00000,1.70461,0.18243,2.00000,max
CTG-mod-norm,dch,2126.00000,21.00000,0.18247,349.00000,44646.00000,23136.00000,16470.00000,0.51821,0.36890,21.00000,4.29962,0.18246,21.00000,max
CTG-mod-norm,dchperceptron,2126.00000,21.00000,0.18247,314.00000,44646.00000,20764.00000,14899.00000,0.46508,0.33371,21.00000,3.90640,0.18246,21.00000,max
CTG-mod-norm,dp,2126.00000,21.00000,0.18247,966.00000,44646.00000,21446.00000,22412.00000,0.48036,0.50199,1.00000,1.00000,0.09953,1.00000,mean
CTG-mod-norm,dl,2126.00000,21.00000,0.18247,288.00000,44646.00000,11562.00000,10012.00000,0.25897,0.22425,2.00000,1.86453,0.15732,2.00000,mean
CTG-mod-norm,dch,2126.00000,21.00000,0.18247,90.00000,44646.00000,60934.00000,32520.00000,1.36483,0.72840,15.00000,14.40734,0.18178,21.00000,mean
CTG-mod-norm,dchperceptron,2126.00000,21.00000,0.18247,77.00000,44646.00000,56940.00000,30380.00000,1.27537,0.68046,14.00000,13.52916,0.18133,21.00000,mean
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,50.00000,44646.00000,34298.00000,17674.00000,0.76822,0.39587,50.00000,7.81938,0.16625,50.00000,mean
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,100.00000,44646.00000,22842.00000,12471.00000,0.51162,0.27933,100.00000,4.87817,0.15581,100.00000,mean
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,150.00000,44646.00000,20292.00000,11721.00000,0.45451,0.26253,150.00000,4.03151,0.14922,150.00000,mean
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,200.00000,44646.00000,18620.00000,11410.00000,0.41706,0.25557,200.00000,3.39135,0.16437,200.00000,mean
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,250.00000,44646.00000,15622.00000,10436.00000,0.34991,0.23375,250.00000,2.43932,0.16044,250.00000,mean
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,300.00000,44646.00000,17272.00000,11786.00000,0.38687,0.26399,300.00000,2.58043,0.16937,300.00000,mean
wdbc-mod-norm,dp,569.00000,30.00000,0.32456,329.00000,17070.00000,10110.00000,10439.00000,0.59227,0.61154,1.00000,1.00000,0.32430,1.00000,max
wdbc-mod-norm,dl,569.00000,30.00000,0.32456,106.00000,17070.00000,4569.00000,4212.00000,0.26766,0.24675,2.00000,1.81371,0.32356,2.00000,max
wdbc-mod-norm,dch,569.00000,30.00000,0.32456,61.00000,17070.00000,5214.00000,3837.00000,0.30545,0.22478,28.00000,3.52724,0.32453,30.00000,max
wdbc-mod-norm,dchperceptron,569.00000,30.00000,0.32456,60.00000,17070.00000,4411.00000,3420.00000,0.25841,0.20035,18.00000,2.84710,0.32456,30.00000,max
wdbc-mod-norm,dp,569.00000,30.00000,0.32456,222.00000,17070.00000,7007.00000,7229.00000,0.41049,0.42349,1.00000,1.00000,0.19676,1.00000,mean
wdbc-mod-norm,dl,569.00000,30.00000,0.32456,38.00000,17070.00000,2733.00000,2240.00000,0.16011,0.13122,2.00000,1.93322,0.30113,2.00000,mean
wdbc-mod-norm,dch,569.00000,30.00000,0.32456,20.00000,17070.00000,9933.00000,5561.00000,0.58190,0.32578,9.00000,8.71880,0.32207,30.00000,mean
wdbc-mod-norm,dchperceptron,569.00000,30.00000,0.32456,18.00000,17070.00000,13213.00000,7170.00000,0.77405,0.42004,12.00000,11.65202,0.32396,30.00000,mean
wdbc-mod-norm,KSVD,569.00000,30.00000,0.32456,50.00000,17070.00000,3942.00000,2721.00000,0.23093,0.15940,50.00000,2.14587,0.29477,50.00000,mean
wdbc-mod-norm,KSVD,569.00000,30.00000,0.32456,100.00000,17070.00000,4628.00000,3814.00000,0.27112,0.22343,100.00000,1.43058,0.31664,100.00000,mean
mnist2,dp,2000.00000,784.00000,5.24113,1435.00000,1568000.00000,1125605.00000,1127040.00000,0.71786,0.71878,1.00000,1.00000,5.23871,1.00000,max
mnist2,dch,2000.00000,784.00000,5.24113,325.00000,1568000.00000,265507.00000,261316.00000,0.16933,0.16666,10.00000,3.25800,5.24094,10.00000,max
mnist2,dchperceptron,2000.00000,784.00000,5.24113,319.00000,1568000.00000,260147.00000,256281.00000,0.16591,0.16344,10.00000,3.09250,5.24091,10.00000,max
mnist2,dp,2000.00000,784.00000,5.24113,971.00000,1568000.00000,762293.00000,763264.00000,0.48616,0.48678,1.00000,1.00000,2.69598,1.00000,mean
mnist2,dch,2000.00000,784.00000,5.24113,127.00000,1568000.00000,112677.00000,107186.00000,0.07186,0.06836,4.00000,3.80900,5.18755,10.00000,mean
mnist2,dchperceptron,2000.00000,784.00000,5.24113,131.00000,1568000.00000,115787.00000,110311.00000,0.07384,0.07035,4.00000,3.80350,5.11770,10.00000,mean
mnist2,dl,2000.00000,784.00000,5.24113,378.00000,1568000.00000,301218.00000,299974.00000,0.19210,0.19131,2.00000,1.81100,4.24658,2.00000,mean
mnist2,KSVD,2000.00000,784.00000,5.24113,50.00000,1568000.00000,104546.00000,71873.00000,0.06667,0.04584,50.00000,16.33650,4.43376,50.00000,mean
mnist2,KSVD,2000.00000,784.00000,5.24113,100.00000,1568000.00000,105234.00000,91817.00000,0.06711,0.05856,100.00000,6.70850,4.38909,100.00000,mean
mnist2,KSVD,2000.00000,784.00000,5.24113,150.00000,1568000.00000,136838.00000,127219.00000,0.08727,0.08113,150.00000,4.80950,4.34012,150.00000,mean
20newsgroups500_1,dp,1500.00000,500.00000,1.26497,908.00000,750000.00000,454592.00000,455500.00000,0.60612,0.60733,1.00000,1.00000,1.26232,1.00000,max
20newsgroups500_1,dch,1500.00000,500.00000,1.26497,433.00000,750000.00000,222847.00000,220640.00000,0.29713,0.29419,10.00000,2.76000,1.26479,10.00000,max
20newsgroups500_1,dchperceptron,1500.00000,500.00000,1.26497,424.00000,750000.00000,217016.00000,215470.00000,0.28935,0.28729,10.00000,2.31333,1.26483,10.00000,max
20newsgroups500_1,dp,1500.00000,500.00000,1.26497,705.00000,750000.00000,353295.00000,354000.00000,0.47106,0.47200,1.00000,1.00000,0.66908,1.00000,mean
20newsgroups500_1,dl,1500.00000,500.00000,1.26497,381.00000,750000.00000,193857.00000,193119.00000,0.25848,0.25749,2.00000,1.74600,0.94284,2.00000,mean
20newsgroups500_1,dch,1500.00000,500.00000,1.26497,113.00000,750000.00000,71747.00000,64930.00000,0.09566,0.08657,6.00000,5.62000,1.24933,10.00000,mean
20newsgroups500_1,dchperceptron,1500.00000,500.00000,1.26497,116.00000,750000.00000,73214.00000,66415.00000,0.09762,0.08855,6.00000,5.61000,1.23618,10.00000,mean
20newsgroups500_1,dl,1500.00000,500.00000,1.26497,635.00000,750000.00000,320095.00000,319865.00000,0.42679,0.42649,2.00000,1.57667,1.26496,2.00000,max
20newsgroups500_1,KSVD,1500.00000,500.00000,1.26497,50.00000,750000.00000,72030.00000,48515.00000,0.09604,0.06469,50.00000,15.67667,1.13679,50.00000,mean
20newsgroups500_1,KSVD,1500.00000,500.00000,1.26497,100.00000,750000.00000,109608.00000,79804.00000,0.14614,0.10641,100.00000,19.86933,1.03937,100.00000,mean
20newsgroups500_1,KSVD,1500.00000,500.00000,1.26497,150.00000,750000.00000,114676.00000,94838.00000,0.15290,0.12645,150.00000,13.22533,0.98681,150.00000,mean
20newsgroups500_1,KSVD,1500.00000,500.00000,1.26497,200.00000,750000.00000,129234.00000,114617.00000,0.17231,0.15282,200.00000,9.74467,0.95477,200.00000,mean
20newsgroups500_1,KSVD,1500.00000,500.00000,1.26497,250.00000,750000.00000,154684.00000,139842.00000,0.20625,0.18646,250.00000,9.89467,0.92728,250.00000,mean
mnist2-deskewed,dp,2000.00000,784.00000,4.40851,1361.00000,1568000.00000,1067663.00000,1069024.00000,0.68091,0.68178,1.00000,1.00000,4.40482,1.00000,max
mnist2-deskewed,dch,2000.00000,784.00000,4.40851,443.00000,1568000.00000,356371.00000,353063.00000,0.22728,0.22517,10.00000,2.87550,4.40783,10.00000,max
mnist2-deskewed,dchperceptron,2000.00000,784.00000,4.40851,428.00000,1568000.00000,344138.00000,341059.00000,0.21948,0.21751,10.00000,2.75350,4.40813,10.00000,max
mnist2-deskewed,dp,2000.00000,784.00000,4.40851,973.00000,1568000.00000,763859.00000,764832.00000,0.48715,0.48778,1.00000,1.00000,2.26376,1.00000,mean
mnist2-deskewed,dch,2000.00000,784.00000,4.40851,190.00000,1568000.00000,161630.00000,156390.00000,0.10308,0.09974,4.00000,3.71500,4.22253,10.00000,mean
mnist2-deskewed,dchperceptron,2000.00000,784.00000,4.40851,191.00000,1568000.00000,158789.00000,155362.00000,0.10127,0.09908,3.00000,2.80900,4.37129,10.00000,mean
mnist2-deskewed,dl,2000.00000,784.00000,4.40851,384.00000,1568000.00000,305904.00000,304672.00000,0.19509,0.19431,2.00000,1.80800,3.55967,2.00000,mean
mnist2-deskewed,dl,2000.00000,784.00000,4.40851,824.00000,1568000.00000,649544.00000,649192.00000,0.41425,0.41403,2.00000,1.58800,4.40763,2.00000,max
mnist2-deskewed,KSVD,2000.00000,784.00000,4.40851,50.00000,1568000.00000,147462.00000,93331.00000,0.09404,0.05952,50.00000,27.06550,3.53266,50.00000,mean
mnist2-deskewed,KSVD,2000.00000,784.00000,4.40851,100.00000,1568000.00000,127178.00000,102789.00000,0.08111,0.06555,100.00000,12.19450,3.48914,100.00000,mean
mnist2-deskewed,KSVD,2000.00000,784.00000,4.40851,150.00000,1568000.00000,148836.00000,133218.00000,0.09492,0.08496,150.00000,7.80900,3.47382,150.00000,mean
mnist2-deskewed,KSVD,2000.00000,784.00000,4.40851,200.00000,1568000.00000,180616.00000,168708.00000,0.11519,0.10759,200.00000,5.95400,3.40738,200.00000,mean
